City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
144,Ternate,ID,80.65,0.8,127.4,Sahid Bela Ternate Hotel
145,Bengkulu,ID,78.98,-3.8004,102.2655,Grage Hotel Bengkulu
146,Fallon,US,78.93,39.4735,-118.7774,Best Western Fallon Inn & Suites
161,Kirakira,SB,79.66,-10.4544,161.9205,SanBiz Lodge
163,Wanning,CN,82.63,18.8003,110.3967,Paradise Hotel
165,Cabo San Lucas,MX,80.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
169,Tabou,CI,78.04,4.423,-7.3528,hotêl doufoulougou
172,Iquitos,PE,78.84,-3.7481,-73.2472,Cortez Malaga Techy Caroly
183,San Policarpo,PH,80.74,12.1791,125.5072,Agapita M. Nicart
184,Muroto,JP,79.23,33.2833,134.15,Oota Ryokan
188,The Valley,AI,86.83,18.217,-63.0578,CeBlue Villas & Beach Resort
189,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
198,Pasighat,IN,80.44,28.0667,95.3333,Siang Guest House
200,Akodia,IN,78.13,23.3833,76.6,Mobile Shop
202,Del Rio,US,81.0,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
203,Margate,GB,81.1,51.3813,1.3862,Premier Inn Margate hotel
206,Sungairaya,ID,80.06,0.7,108.9,Rumah Kuku Moimoi Shelly
211,Sola,VU,80.26,-13.8833,167.55,Leumerus Bungalows
221,Nagercoil,IN,80.38,8.1667,77.4333,JS Homestay
222,Kruisfontein,ZA,81.88,-34.0033,24.7314,Oyster Bay House Rental
228,Kintampo,GH,78.17,8.0563,-1.7306,Adomaa Memorial Hotel
229,Garissa,KE,85.37,-0.4536,39.6401,Sharif Plaza Hotel
231,Paciran,ID,79.05,-6.8767,112.3761,Tanjung Kodok Beach Resort
233,Nyaunglebin,MM,78.28,17.95,96.7333,Thi ha
237,Nguruka,TZ,85.51,-5.1092,31.0419,RUSULI LODGE
241,West Point,US,85.1,33.6076,-88.6503,Hampton Inn & Suites West Point
243,Darnah,LY,82.26,32.767,22.6367,فندق الفردوس
246,Caravelas,BR,80.44,-17.7125,-39.2481,Pousada dos Navegantes
249,Shemysheyka,RU,80.53,52.892,45.3928,
251,Alto Araguaia,BR,85.59,-17.3147,-53.2153,Araguaia Palace Hotel
255,Bhanjanagar,IN,79.45,19.9333,84.5833,Mohanty Hotel
256,Salalah,OM,80.69,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
258,Aktau,KZ,86.58,43.65,51.2,Silk Way Hotel
261,Oktyabrskoye,RU,86.14,43.0645,44.7417,Prolesok Mini-hotel
262,Samarai,PG,78.78,-10.6167,150.6667,Nuli Sapi
263,Khalkhal,IR,79.07,37.6189,48.5258,Khalkhal Tourist Hotel
264,Middlesbrough,GB,84.4,54.5762,-1.2348,Jurys Inn Middlesbrough
270,Harper,LR,78.33,4.375,-7.7169,Screensaver
273,Ati,TD,81.7,13.2154,18.3353,
275,Acapulco,MX,78.62,16.8634,-99.8901,HS Hotsson Smart Acapulco
277,Pontian Kecil,MY,80.92,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
285,Camacari,BR,82.17,-12.6975,-38.3242,Sítio Blasi
286,Iracoubo,GF,81.55,5.4802,-53.2011,Le Gîte d’Iracoubo
289,Kavaratti,IN,82.17,10.5669,72.642,Green leaf
290,Novo Lino,BR,78.04,-8.915,-35.6467,Pousada João Miguel - Novo Lino - Alagoas
292,Prizren,XK,83.84,42.2139,20.7397,Hotel Butro
298,Kampot,KH,80.65,10.6167,104.1833,Two Moons Hotel
301,Tutoia,BR,86.77,-2.7619,-42.2744,Tutóia Pousada Vila Beach
303,Boundiali,CI,82.76,9.5217,-6.4869,Hotel Paysan Boundiali
305,Tezu,IN,79.27,27.9167,96.1667,Circuit House
310,Fort Erie,CA,83.05,42.9001,-78.9329,Buffalo Grand Hotel & Event Center
312,Pandan,PH,81.68,14.0453,124.1694,Bonifacio Lodge
315,East London,ZA,86.94,-33.0153,27.9116,Tu Casa
316,Hobyo,SO,79.54,5.3505,48.5268,Iftin hotel hobyo
329,Santa Marta,CO,86.05,11.2408,-74.199,Hotel La Ballena Azul
333,Ribeira Grande,PT,79.2,38.5167,-28.7,Quinta da Meia Eira
340,Marsh Harbour,BS,83.1,26.5412,-77.0636,Abaco Beach Resort
