City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,Avarua,-21.2078,-159.775,71.65,78,75,8.05,CK,2022-07-17 14:05:58
88,Goundam,16.4145,-3.6708,94.46,38,80,14.61,ML,2022-07-17 14:20:00
89,Isangel,-19.55,169.2667,73.18,85,51,15.1,VU,2022-07-17 14:15:08
90,Longyearbyen,78.2186,15.6401,49.84,71,75,4.61,SJ,2022-07-17 14:14:34
91,Vanavara,60.34,102.2797,57.88,77,94,3.27,RU,2022-07-17 14:20:01
92,Itoman,26.1247,127.6694,82.78,94,75,12.66,JP,2022-07-17 14:20:01
93,Saint-Joseph,-21.3667,55.6167,68.38,77,73,17.65,RE,2022-07-17 14:20:01
94,Tazovskiy,67.4667,78.7,63.27,54,97,7.36,RU,2022-07-17 14:14:28
95,Pangkalanbuun,-2.6833,111.6167,71.65,97,100,3.56,ID,2022-07-17 14:21:02
96,Nikolskoye,59.7035,30.7861,65.88,56,95,9.15,RU,2022-07-17 14:21:02
97,Bastia,42.6667,9.3333,88.03,67,0,6.91,FR,2022-07-17 14:21:02
98,Luderitz,-26.6481,15.1594,69.51,44,13,5.39,NA,2022-07-17 14:15:42
99,Amboasary,-25.0333,46.3833,72.21,57,0,12.88,MG,2022-07-17 14:21:03
100,Hithadhoo,-0.6,73.0833,78.67,86,100,28.95,MV,2022-07-17 14:18:03
101,Smithers,54.7804,-127.1743,50.58,85,6,2.1,CA,2022-07-17 14:14:23
102,Saldanha,-33.0117,17.9442,62.4,75,0,9.91,ZA,2022-07-17 14:12:03
103,Ancud,-41.8697,-73.8203,44.22,79,13,13.31,CL,2022-07-17 14:12:06
104,Bethel,41.3712,-73.414,81.45,73,75,5.75,US,2022-07-17 14:21:03
105,Tambacounda,13.7539,-13.7586,95.05,49,40,13.8,SN,2022-07-17 14:21:03
106,Khani,41.9563,42.9566,69.37,82,73,4.81,GE,2022-07-17 14:21:04
107,Lebu,-37.6167,-73.65,49.87,94,100,10.36,CL,2022-07-17 14:12:10
108,Kahului,20.8947,-156.47,77.85,80,0,20.71,US,2022-07-17 14:21:04
109,Merauke,-8.4667,140.3333,75.54,87,100,11.92,ID,2022-07-17 14:21:04
110,Provideniya,64.3833,-173.3,49.57,98,100,9.1,RU,2022-07-17 14:14:34
111,Codrington,-38.2667,141.9667,48.58,67,100,20.33,AU,2022-07-17 14:11:58
112,Labuhan,-6.8844,112.2051,78.69,83,100,7.09,ID,2022-07-17 14:21:04
113,Shanhetun,44.7,127.2,65.52,92,100,3.78,CN,2022-07-17 14:21:05
114,Rovaniemi,66.5,25.7167,65.61,63,75,3.44,FI,2022-07-17 14:21:05
115,Nanortalik,60.1432,-45.2371,44.08,79,67,11.68,GL,2022-07-17 14:12:01
116,Ribeira Brava,32.65,-17.0667,79.0,80,33,6.96,PT,2022-07-17 14:21:05
117,Kushiro,42.975,144.3747,63.59,99,100,8.52,JP,2022-07-17 14:21:06
118,Dubrovka,53.6907,33.5071,65.39,65,99,3.69,RU,2022-07-17 14:21:06
119,Raga,8.4596,25.678,85.77,53,92,3.71,SS,2022-07-17 14:21:07
120,Chokurdakh,70.6333,147.9167,37.9,59,15,2.98,RU,2022-07-17 14:12:05
121,Goderich,43.7501,-81.7165,77.32,57,100,5.75,CA,2022-07-17 14:17:25
122,Hamilton,39.1834,-84.5333,74.03,95,100,6.91,US,2022-07-17 14:14:01
123,Korla,41.7597,86.1469,83.88,21,2,15.88,CN,2022-07-17 14:21:07
124,Chuy,-33.6971,-53.4616,46.69,75,0,13.71,UY,2022-07-17 14:13:14
125,Klaksvik,62.2266,-6.589,52.72,85,61,24.2,FO,2022-07-17 14:19:20
126,Zhigansk,66.7697,123.3711,59.54,71,100,10.83,RU,2022-07-17 14:13:25
127,Hofn,64.2539,-15.2082,59.02,72,75,11.5,IS,2022-07-17 14:21:08
128,Pindi Gheb,33.2402,72.2661,97.25,38,100,5.39,PK,2022-07-17 14:21:08
129,Lewiston,44.1003,-70.2148,86.41,55,0,3.44,US,2022-07-17 14:17:26
130,Verkhoyansk,67.5447,133.385,54.79,71,99,2.93,RU,2022-07-17 14:16:56
131,Shiloh,38.5614,-89.8973,76.32,93,75,3.44,US,2022-07-17 14:21:08
132,Tuktoyaktuk,69.4541,-133.0374,53.6,94,100,6.91,CA,2022-07-17 14:12:00
133,Esperance,-33.8667,121.9,55.06,75,99,17.05,AU,2022-07-17 14:20:27
134,Chumikan,54.7183,135.315,52.38,99,100,6.55,RU,2022-07-17 14:21:09
135,Faya,18.3851,42.4509,80.71,25,84,9.71,SA,2022-07-17 14:21:09
136,Victoria,22.2855,114.1577,88.18,80,100,11.01,HK,2022-07-17 14:19:05
137,Boyolangu,-8.1181,111.8935,73.96,87,100,1.5,ID,2022-07-17 14:21:09
138,Hay River,60.8156,-115.7999,62.58,82,100,10.36,CA,2022-07-17 14:16:36
139,Tiksi,71.6872,128.8694,36.81,80,100,2.19,RU,2022-07-17 14:14:26
140,Nikolsk,53.7189,46.0712,78.53,57,24,5.19,RU,2022-07-17 14:22:10
141,Qandala,11.472,49.8728,93.31,47,0,7.23,SO,2022-07-17 14:22:10
142,Coquimbo,-29.9533,-71.3436,53.33,54,0,4.61,CL,2022-07-17 14:20:38
143,Cuamba,-14.8031,36.5372,73.72,46,41,7.11,MZ,2022-07-17 14:22:11
144,Ternate,0.8,127.4,80.65,79,100,6.31,ID,2022-07-17 14:22:11
145,Bengkulu,-3.8004,102.2655,78.98,85,91,4.74,ID,2022-07-17 14:22:11
146,Fallon,39.4735,-118.7774,78.93,30,0,3.44,US,2022-07-17 14:19:44
147,Dudinka,69.4058,86.1778,63.63,56,100,5.26,RU,2022-07-17 14:22:12
148,La Ronge,55.1001,-105.2842,71.82,64,40,6.91,CA,2022-07-17 14:20:27
149,Ulladulla,-35.35,150.4667,54.5,64,56,10.22,AU,2022-07-17 14:22:12
150,Valleyview,55.0667,-117.2859,57.24,77,0,4.61,CA,2022-07-17 14:22:12
151,Daru,-9.0763,143.2092,76.57,87,54,12.28,PG,2022-07-17 14:22:13
152,Sioux Lookout,50.1001,-91.917,75.27,69,20,4.61,CA,2022-07-17 14:22:13
153,Vaini,-21.2,-175.2,73.56,88,20,6.91,TO,2022-07-17 14:17:31
154,Souillac,-20.5167,57.5167,69.42,76,16,20.22,MU,2022-07-17 14:13:17
155,Sayyan,15.1718,44.3244,75.34,25,99,6.98,YE,2022-07-17 14:22:13
156,Klyuchi,52.2667,79.1667,72.75,45,0,21.43,RU,2022-07-17 14:21:42
157,Katsuura,35.1333,140.3,77.22,92,18,17.87,JP,2022-07-17 14:22:14
158,Faanui,-16.4833,-151.75,75.74,76,74,18.28,PF,2022-07-17 14:19:58
159,Marawi,7.9986,124.2928,69.12,94,100,2.98,PH,2022-07-17 14:18:07
160,Coihaique,-45.5752,-72.0662,36.21,80,75,5.75,CL,2022-07-17 14:15:55
161,Kirakira,-10.4544,161.9205,79.66,80,30,12.59,SB,2022-07-17 14:18:01
162,Imeni Poliny Osipenko,52.4201,136.4853,60.53,92,60,6.35,RU,2022-07-17 14:15:45
163,Wanning,18.8003,110.3967,82.63,89,24,9.28,CN,2022-07-17 14:22:14
164,Kodiak,57.79,-152.4072,56.71,72,75,9.22,US,2022-07-17 14:13:20
165,Cabo San Lucas,22.8909,-109.9124,80.62,67,12,5.01,MX,2022-07-17 14:18:00
166,Kaeo,-35.1,173.7833,47.32,94,82,3.62,NZ,2022-07-17 14:22:15
167,Karratha,-20.7377,116.8463,68.52,61,3,4.74,AU,2022-07-17 14:19:29
168,Ayia Galini,35.1,24.6833,94.75,20,0,10.0,GR,2022-07-17 14:22:15
169,Tabou,4.423,-7.3528,78.04,75,100,11.9,CI,2022-07-17 14:22:15
170,Clyde River,70.4692,-68.5914,38.07,82,79,4.52,CA,2022-07-17 14:13:13
171,Palu,-0.8917,119.8707,75.24,98,98,2.1,ID,2022-07-17 14:22:16
172,Iquitos,-3.7481,-73.2472,78.84,89,75,3.44,PE,2022-07-17 14:22:16
173,Amilly,47.9728,2.7719,90.05,16,100,10.92,FR,2022-07-17 14:22:16
174,Isparta,38.0,31.0,76.71,35,0,19.51,TR,2022-07-17 14:22:17
175,Makakilo City,21.3469,-158.0858,77.32,74,100,10.36,US,2022-07-17 14:22:17
176,Ilulissat,69.2167,-51.1,51.82,54,20,5.75,GL,2022-07-17 14:22:18
177,Pisco,-13.7,-76.2167,60.85,72,3,4.61,PE,2022-07-17 14:14:34
178,Xining,36.6167,101.7667,53.51,91,100,0.85,CN,2022-07-17 14:22:15
179,Rundu,-17.9333,19.7667,75.54,18,0,9.35,NA,2022-07-17 14:19:21
180,Zheleznodorozhnyy,55.7503,38.0042,72.14,45,100,2.93,RU,2022-07-17 14:22:19
181,Ornskoldsvik,63.2909,18.7153,61.75,51,75,13.8,SE,2022-07-17 14:22:19
182,Lompoc,34.6391,-120.4579,58.59,95,100,0.0,US,2022-07-17 14:17:29
183,San Policarpo,12.1791,125.5072,80.74,83,100,1.63,PH,2022-07-17 14:22:20
184,Muroto,33.2833,134.15,79.23,82,100,11.03,JP,2022-07-17 14:22:20
185,Pevek,69.7008,170.3133,31.73,86,100,31.05,RU,2022-07-17 14:22:29
186,Aniva,46.7144,142.5294,59.11,96,100,13.35,RU,2022-07-17 14:23:20
187,Lagoa Vermelha,-28.2086,-51.5258,47.61,79,73,6.46,BR,2022-07-17 14:23:20
188,The Valley,18.217,-63.0578,86.83,70,40,18.41,AI,2022-07-17 14:21:15
189,Bathsheba,13.2167,-59.5167,84.81,84,40,25.32,BB,2022-07-17 14:22:55
190,Cleveland,41.4995,-81.6954,75.7,85,75,11.5,US,2022-07-17 14:18:52
191,Ambunti,-4.2365,142.8448,73.31,98,43,1.23,PG,2022-07-17 14:23:21
192,Airai,-8.9266,125.4092,55.85,90,55,2.93,TL,2022-07-17 14:20:00
